Average of reward,Column Labels,,,,,
Row Labels,correct100_importance50_true,correct150_importance50_true,correct200_importance50_true,correct250_importance50_true,correct300_importance50_true,Grand Total
320,3250.738889,3361.183333,3459.188889,3538.616667,3368.888889,3395.723333
330,3319.083333,3350.75,3506.166667,3517.872222,3386.944444,3416.163333
340,3276.672222,3347.705556,3483.705556,3610.05,3407.455556,3425.117778
350,3266.25,3437.594444,3472.011111,3627.344444,3378.794444,3436.398889
360,3328.294444,3437.877778,3435.522222,3594.416667,3437.083333,3446.638889
370,3396.333333,3468.405556,3565.611111,3508.888889,3407.988889,3469.445556
380,3388.638889,3554.733333,3587.077778,3576.183333,3456.611111,3512.648889
390,3453.2,3456.361111,3511.822222,3545.411111,3381.072222,3469.573333
400,3452.138889,3536.144444,3525.261111,3669.555556,3492.272222,3535.074444
410,3409.288889,3539.422222,3536.033333,3663.45,3590.983333,3547.835556
420,3432.55,3515.722222,3600.311111,3695.355556,3572.316667,3563.251111
430,3540.25,3628.794444,3603.222222,3608.583333,3570.577778,3590.285556
440,3594.55,3505.888889,3609.111111,3622.277778,3541.311111,3574.627778
450,3484.233333,3540.622222,3704.15,3718.294444,3622.777778,3614.015556
460,3500.15,3546.183333,3626.811111,3638.1,3654.122222,3593.073333
470,3588.527778,3522.466667,3673.9,3726.35,3632.961111,3628.841111
480,3594.2,3548.344444,3706.644444,3659.333333,3583.716667,3618.447778
490,3611.077778,3565.416667,3733.172222,3627.427778,3627.205556,3632.86
500,3501.305556,3645.744444,3727.638889,3722.588889,3592.427778,3637.941111
510,3486.322222,3676.1,3665.627778,3699.6,3678.461111,3641.222222
520,3604.916667,3685.55,3758.244444,3696.05,3732.238889,3695.4
530,3659.255556,3643.644444,3717.9,3689.805556,3675.955556,3677.312222
540,3478.666667,3650.561111,3695.727778,3752.705556,3751.872222,3665.906667
550,3651.266667,3702.694444,3666.272222,3728.244444,3679.561111,3685.607778
560,3599.661111,3677.411111,3689.627778,3703.138889,3724.222222,3678.812222
570,3661.944444,3635.444444,3777.5,3732.016667,3697.322222,3700.845556
580,3595.983333,3719.038889,3759.066667,3727.411111,3803.511111,3721.002222
590,3619.888889,3672.55,3776.05,3776.083333,3746.216667,3718.157778
600,3719.761111,3683.35,3695.183333,3708.316667,3752.211111,3711.764444
610,3695.05,3650.616667,3732.311111,3788.261111,3742.155556,3721.678889
620,3671.988889,3657.422222,3799.433333,3753.494444,3720.783333,3720.624444
630,3609.661111,3718.9,3737.572222,3799.255556,3723.888889,3717.855556
640,3723.233333,3714.877778,3731.311111,3813.361111,3763.377778,3749.232222
650,3718.527778,3728.9,3709.1,3746.666667,3830.461111,3746.731111
660,3770.938889,3760.111111,3748.294444,3786.661111,3747.194444,3762.64
670,3719.894444,3740.877778,3761.472222,3790.783333,3824.477778,3767.501111
680,3783.744444,3740.583333,3756,3820.355556,3796.033333,3779.343333
690,3733.311111,3720.172222,3808.977778,3812.716667,3788.688889,3772.773333
700,3732.783333,3739.244444,3760.555556,3769.133333,3762.072222,3752.757778
710,3689.355556,3763.305556,3757.272222,3766.577778,3781.1,3751.522222
720,3750.422222,3758.516667,3780.611111,3746.294444,3707.744444,3748.717778
730,3753.383333,3774.55,3794.65,3764.822222,3802.566667,3777.994444
740,3757.161111,3713,3800.455556,3769.838889,3852.883333,3778.667778
750,3728.577778,3771.488889,3767.533333,3722.055556,3795.722222,3757.075556
760,3776.372222,3734.538889,3772.994444,3739.433333,3807.116667,3766.091111
770,3724.572222,3783.955556,3796.388889,3785.627778,3830.922222,3784.293333
780,3715.138889,3683.427778,3756.783333,3762.655556,3738.583333,3731.317778
790,3766.816667,3792.227778,3756.861111,3732.416667,3779.872222,3765.638889
800,3728.755556,3718.361111,3740.327778,3747.927778,3761.566667,3739.387778
Grand Total,3226.641084,3289.849588,3377.116118,3376.491975,3312.280933,3316.47594
